topyoutube
Artist,Total Views
Lewis Capaldi,"1,880.3"
Sabyan,"1,878.8"
Alemán,"1,875.1"
Sin Bandera,"1,866.7"
B Praak,"1,863.1"
Remmy Valenzuela,"1,862.4"
Ceca,"1,861.6"
MC Kevin,"1,853.6"
OMI,"1,853.5"
Florida Georgia Line,"1,852.1"
Canserbero,"1,851.4"
Hozier,"1,840.0"
Lil Tjay,"1,835.7"
Ricardo Montaner,"1,829.6"
Radiohead,"1,828.1"
Cristiano Araújo,"1,826.9"
Galantis,"1,825.8"
Niska,"1,825.0"
Paula Fernandes,"1,822.8"
Jason Aldean,"1,819.9"
Palak Muchhal,"1,811.4"
Chris Jeday,"1,803.9"
Roxette,"1,801.6"
Black M,"1,798.1"
(G)I-DLE,"1,797.7"
IU,"1,792.6"
Arash,"1,790.6"
Via Vallen,"1,787.5"
Hailee Steinfeld,"1,782.2"
Three Days Grace,"1,780.4"
Soulja Boy Tell'em,"1,780.1"
PNL,"1,775.6"
Alok,"1,773.2"
Maria Becerra,"1,766.2"
The Game,"1,764.7"
Abraham Mateo,"1,760.9"
Bryson Tiller,"1,760.7"
Blake Shelton,"1,760.6"
AronChupa,"1,758.0"
Eros Ramazzotti,"1,757.6"
James Blunt,"1,757.1"
Naughty Boy,"1,751.2"
Marcos & Belutti,"1,745.3"
SHINee,"1,735.6"
R.E.M.,"1,734.9"
2 Chainz,"1,728.7"
Vremya i Steklo,"1,721.8"
Lata Mangeshkar,"1,720.7"
İrem Derici,"1,717.3"
Scorpions,"1,715.3"
Raymix,"1,712.5"
ONE OK ROCK,"1,711.7"
Zouhair Bahaoui,"1,705.7"
Raí Saia Rodada,"1,702.9"
Rick Astley,"1,697.5"
My Chemical Romance,"1,689.8"
Rick Ross,"1,687.2"
B.o.B,"1,687.1"
Korn,"1,686.0"
Lil Skies,"1,683.5"
El Komander,"1,679.2"
Naps,"1,671.7"
Nella Kharisma,"1,671.3"
Shaggy,"1,663.3"
Noriel,"1,661.3"
Bruce Springsteen,"1,653.9"
"Earth, Wind & Fire","1,649.2"
Foster The People,"1,645.9"
3 Doors Down,"1,641.7"
Boney M.,"1,637.7"
Getsunova,"1,633.9"
Mary J. Blige,"1,630.1"
Joyner Lucas,"1,620.7"
2CELLOS,"1,619.4"
Destiny's Child,"1,617.9"
Last Child,"1,615.9"
Lauv,"1,610.5"
Robbie Williams,"1,605.3"
Jonas Brothers,"1,597.6"
Lauana Prado,"1,595.8"
Toni Braxton,"1,595.0"
Sofia Reyes,"1,590.3"
Wham!,"1,580.5"
Jeremih,"1,580.0"
J Alvarez,"1,579.4"
Ella Mai,"1,579.3"
Burna Boy,"1,578.5"
Marilyn Manson,"1,576.3"
Audioslave,"1,576.1"
Afrojack,"1,572.9"
Lê Bảo Bình,"1,572.0"
Manuel Medrano,"1,566.9"
The Notorious B.I.G.,"1,560.1"
Israel Kamakawiwo'ole,"1,558.2"
T-Pain,"1,552.8"
The Police,"1,549.7"
JD Pantoja,"1,548.7"
MC WM,"1,542.2"
Fun.,"1,542.2"
Demet Akalın,"1,541.5"
Wolfine,"1,534.0"
Israel & Rodolffo,"1,527.8"
Andy Rivera,"1,527.0"
MHD,"1,525.0"
Mỹ Tâm,"1,521.7"
Die Antwoord,"1,519.3"
Reynmen,"1,516.0"
Elvis Presley,"1,513.6"
Kehlani,"1,512.9"
Santana,"1,490.9"
Ty Dolla $ign,"1,487.9"
No Doubt,"1,486.7"
Renuka Panwar,"1,483.5"
4 Non Blondes,"1,479.9"
Alexandra Stan,"1,476.0"
Kany García,"1,474.9"
Kid Rock,"1,467.8"
Carrie Underwood,"1,460.8"
Toto,"1,456.7"
Mannat Noor,"1,452.8"
Rombai,"1,443.9"
Tom Odell,"1,443.3"
Fernandinho,"1,437.4"
4Minute,"1,428.6"
Abel Pintos,"1,428.1"
SISTAR,"1,425.7"
Buray,"1,423.8"
Thiaguinho,"1,423.4"
R3HAB,"1,422.5"
Grupo Revelação,"1,420.6"
Mano Walter,"1,420.1"
Europe,"1,417.6"
Yo Gotti,"1,414.7"
Bé Bảo An,"1,411.3"
Tainy,"1,410.0"
Alessia Cara,"1,409.4"
Troye Sivan,"1,409.0"
Jenni Rivera,"1,408.3"
Willy William,"1,406.9"
Kids United,"1,406.8"
Carla's Dreams,"1,400.8"
Dwayne Johnson,"1,400.6"
L.กฮ.,"1,397.4"
C. Tangana,"1,396.9"
Sunidhi Chauhan,"1,394.4"
Ñengo Flow,"1,388.8"
Radwimps,"1,386.7"
Damas Gratis,"1,384.5"
G.E.M.,"1,381.6"
Milky Chance,"1,380.1"
The Kid LAROI,"1,379.9"
Banda Carnaval,"1,379.8"
Hande Yener,"1,378.6"
Aqua,"1,377.2"
Kong Huayrai,"1,375.9"
Sherine,"1,375.5"
Hadise,"1,374.1"
Owl City,"1,373.3"
MC G15,"1,372.3"
Kings Of Leon,"1,367.3"
J-Ax,"1,365.4"
Pang Nakarin,"1,365.0"
Akcent (Romania),"1,362.6"
Rudimental,"1,361.9"
OutKast,"1,361.4"
Gigi D'Agostino,"1,360.5"
Melim,"1,359.1"
Preto no Branco,"1,355.4"
Marwa Loud,"1,353.6"
Ryan Castro,"1,352.7"
Fernando & Sorocaba,"1,342.2"
Flume,"1,338.9"
Bonnie Tyler,"1,336.0"
Natiruts,"1,331.5"
Auli'i Cravalho,"1,329.3"
MC Lan,"1,328.9"
Alejandra Guzmán,"1,328.4"
Ylvis,"1,325.5"
Armaan Malik,"1,322.7"
YFN Lucci,"1,320.2"
Sexion D'Assaut,"1,317.4"
Rvssian,"1,315.2"
Pedro Sampaio,"1,310.9"
Sila,"1,304.6"
Taio Cruz,"1,300.9"
The Lumineers,"1,299.5"
Vitor Fernandes,"1,299.4"
Gülşen,"1,296.5"
Baby Rasta y Gringo,"1,295.6"
Mahahing,"1,294.7"
Gwen Stefani,"1,293.3"
Alexis y Fido,"1,291.7"
Billy Joel,"1,287.1"
Emrah Karaduman,"1,286.5"
Duke Dumont,"1,286.3"
L-Gante,"1,281.3"
John Newman,"1,278.3"
Dennis,"1,277.6"
Phil Collins,"1,277.6"
Jhené Aiko,"1,274.9"
El Bebeto,"1,271.4"
Lenny Kravitz,"1,271.4"
IZA,"1,270.3"
Era Istrefi,"1,269.5"
Nego do Borel,"1,269.0"
Young M.A,"1,267.7"
León Larregui,"1,264.3"
SZA,"1,264.0"
Yelawolf,"1,262.1"
Mike WiLL Made-It,"1,261.9"
Thomas Rhett,"1,261.4"
Tiago PZK,"1,261.2"
Sting,"1,260.2"
The Neighbourhood,"1,255.2"
Jads & Jadson,"1,252.2"
Kim Loaiza,"1,252.1"
Sharry Mann,"1,251.1"
João Gomes,"1,247.2"
Thirty Seconds to Mars,"1,247.2"
Ayo & Teo,"1,247.0"
WINNER,"1,244.0"
NerdOut,"1,243.1"
OG-ANIC,"1,241.3"
Keyshia Cole,"1,241.1"
Reykon,"1,236.0"
Train,"1,233.3"
Bruno e Barretto,"1,229.5"
Carlos Baute,"1,229.3"
Shaan,"1,229.3"
Andrés Cepeda,"1,227.4"
Florence + The Machine,"1,226.4"
Limp Bizkit,"1,222.2"
Severina,"1,222.2"
Leona Lewis,"1,221.1"
Diljit Dosanjh,"1,219.1"
Márcia Fellipe,"1,215.6"
Omarion,"1,215.5"
Bastille,"1,215.3"
Brett Young,"1,215.3"
Simple Plan,"1,213.8"
Robin Thicke,"1,209.3"
Austin Mahone,"1,207.8"
Zé Ramalho,"1,204.7"
Nipsey Hussle,"1,199.5"
Jowell & Randy,"1,198.4"
Liam Payne,"1,192.8"
Amenazzy,"1,191.0"
2Pac,"1,183.2"
Mabel Matiz,"1,182.8"
Bushido,"1,182.7"
Nick Jonas,"1,182.0"
Dynoro,"1,180.3"
Victor & Leo,"1,178.9"
Mora,"1,177.6"
Shinedown,"1,175.5"
Baby K,"1,175.4"
George Ezra,"1,175.2"
Dire Straits,"1,175.0"
Zak Chumpae,"1,174.7"
Dhurata Dora,"1,174.0"
Vicentico,"1,167.9"
Sohail Sen,"1,167.0"
Basshunter,"1,166.8"
Otilia,"1,164.4"
Mr. Children,"1,164.3"
Nightwish,"1,159.6"
Jax Jones,"1,156.1"
Benny Blanco,"1,153.8"
Residente,"1,153.1"
Ministério Zoe,"1,150.1"
Sabrina Carpenter,"1,148.8"
Disclosure,"1,145.3"
Tomorrow X Together,"1,145.3"
N Sync,"1,144.5"
Felipe Peláez,"1,141.4"
Miguel Bosé,"1,137.2"
Sade,"1,134.8"
Bonez MC,"1,128.1"
Yellow Claw,"1,127.7"
James Bay,"1,125.5"
Alec Benjamin,"1,125.4"
Lexa,"1,122.5"
Banda Tierra Sagrada,"1,122.1"
Club Dogo,"1,121.9"
Lady Antebellum,"1,121.7"
Kid Cudi,"1,120.8"
The Vamps,"1,117.1"
August Alsina,"1,116.5"
Momoland,"1,113.2"
Survivor,"1,111.9"
Amit Kumar,"1,111.8"
The Verve,"1,107.1"
Léo Magalhães,"1,101.8"
MIKA,"1,100.9"
Charli XCX,"1,100.9"
Yella Beezy,"1,097.7"
DVBBS,"1,094.1"
Sam Hunt,"1,091.5"
Aitana,"1,085.0"
Ludacris,"1,084.2"
Edward Maya,"1,083.3"
Simge,"1,082.3"
Birdy,"1,079.3"
Labrinth,"1,077.9"
The 1975,"1,077.9"
Mero,"1,077.6"
Bhad Bhabie,"1,077.3"
Alkilados,"1,077.3"
The Rolling Stones,"1,076.6"
R. City,"1,076.4"
Ben Fero,"1,073.7"
Bazzi,"1,073.7"
Gloria Groove,"1,072.8"
Weird Al Yankovic,"1,070.8"
Lizzo,"1,069.3"
Keane,"1,068.7"
Dan + Shay,"1,068.3"
Boy Panomprai,"1,068.0"
Anavitória,"1,067.6"
Dillon Francis,"1,066.4"
Bích Phương,"1,062.8"
Hoobastank,"1,059.8"
Wale,"1,058.1"
Gym Class Heroes,"1,056.7"
Sido,"1,056.5"
Alesso,"1,055.4"
Mumford & Sons,"1,054.6"
Sigala,"1,049.6"
Lauren Daigle,"1,048.1"
Kylie Minogue,"1,047.0"
DJ Hamida,"1,046.4"
Miguel,"1,046.4"
Bigflo & Oli,"1,046.0"
Spice Girls,"1,045.9"
DMX,"1,045.4"
Aleyna Tilki,"1,045.0"
Mike Bahía,"1,042.0"
Bobby Shmurda,"1,041.9"
Aurora,"1,040.4"
Cher Lloyd,"1,036.1"
Blueface,"1,034.5"
Dev Negi,"1,033.9"
Pipe Bueno,"1,032.8"
Siti Badriah,"1,031.4"
Marama,"1,029.5"
Param Singh,"1,029.0"
Tiziano Ferro,"1,028.4"
Jannine Weigel,"1,028.4"
Oliver Tree,"1,028.0"
Kaaris,"1,027.6"
Eurythmics,"1,027.1"
Rocco Hunt,"1,026.4"
Rich The Kid,"1,023.8"
Glass Animals,"1,023.7"
Bryant Oden,"1,022.9"
Enzo Rabelo,"1,022.5"
John Mayer,"1,019.9"
Lost Frequencies,"1,018.6"
Potato,"1,017.1"
The Strokes,"1,016.5"
ScHoolboy Q,"1,016.4"
Jasmine Sandlas,"1,014.4"
Ghali,"1,014.4"
Darell,"1,014.3"
Min,"1,013.5"
Leslie Grace,"1,008.6"
Alonzo,"1,003.3"
Léo Santana,"1,002.1"
Phan Mạnh Quỳnh,998.9
Bomba Estéreo,997.6
The Offspring,995.1
Ultimo,994.7
Humberto e Ronaldo,993.4
Leandro Borges,993.0
João Neto e Frederico,991.7
Vegedream,991.3
Alex Campos,991.2
Sasa Kovacevic,985.3
Fedez,984.9
Trúc Nhân,981.4
IZ*ONE,979.6
Café Tacvba,977.5
DNCE,975.7
Jack Harlow,969.9
Gen Hoshino,968.0
Papa Roach,966.3
Miranda Lambert,962.7
Olly Murs,962.0
Juan Luis Guerra,960.0
Wonder Girls,958.4
K Camp,957.9
Dido,957.2
Led Zeppelin,954.2
Jay-Z,953.0
Alex Sensation,952.2
Henrique & Diego,946.9
Sonu Nigam,945.7
Soobin Hoàng Sơn,942.7
Of Monsters and Men,940.8
João Bosco e Vinícius,940.2
Yash Narvekar,938.1
Creed,934.9
Vengaboys,934.8
Pooh Shiesty,933.1
Tony Kakkar,929.5
25hours,929.3
Monsta X,927.8
Abu,925.7
Boyz II Men,925.5
Axel,922.9
GFriend,922.0
Ivete Sangalo,921.2
Years & Years,917.5
Rachel Platten,915.2
RKM & Ken-Y,913.8
The Wanted,912.4
Pikotaro,910.4
John Lennon,908.0
Bump of Chicken,907.3
Savage Garden,902.7
Brad Paisley,902.7
MC Doni,902.6
Apink,902.5
